year,cLand,scenario,source
1982,6.267497672515639,historical,GFDL-ESM4
1983,6.265685075994505,historical,GFDL-ESM4
1984,6.2709802970832,historical,GFDL-ESM4
1985,6.274994519196613,historical,GFDL-ESM4
1986,6.275467778667864,historical,GFDL-ESM4
1987,6.268200779301552,historical,GFDL-ESM4
1988,6.268260862584938,historical,GFDL-ESM4
1989,6.273227084194571,historical,GFDL-ESM4
1990,6.259629390863258,historical,GFDL-ESM4
1991,6.248311351778507,historical,GFDL-ESM4
1992,6.257037628261311,historical,GFDL-ESM4
1993,6.281573731456043,historical,GFDL-ESM4
1994,6.274015108611934,historical,GFDL-ESM4
1995,6.266510891683464,historical,GFDL-ESM4
1996,6.271726945190655,historical,GFDL-ESM4
1997,6.285787812967868,historical,GFDL-ESM4
1998,6.293151875575276,historical,GFDL-ESM4
1999,6.292557963615792,historical,GFDL-ESM4
2000,6.28416362101868,historical,GFDL-ESM4
2001,6.272592091483457,historical,GFDL-ESM4
2002,6.263637243045131,historical,GFDL-ESM4
2003,6.276134697257281,historical,GFDL-ESM4
2004,6.2662581540061035,historical,GFDL-ESM4
2005,6.263115237171743,historical,GFDL-ESM4
2006,6.274114234522262,historical,GFDL-ESM4
2007,6.2893526934767365,historical,GFDL-ESM4
2008,6.292731243883998,historical,GFDL-ESM4
2009,6.281305579847853,historical,GFDL-ESM4
2010,6.2717611543478275,historical,GFDL-ESM4
2011,6.279597364978366,historical,GFDL-ESM4
2012,6.277361604631053,historical,GFDL-ESM4
2013,6.250736441308774,historical,GFDL-ESM4
2014,6.260535552602928,historical,GFDL-ESM4
