year,fgco2,scenario,source
1962,2.8874966724696955,historical,GFDL-ESM4
1963,3.1226486812993985,historical,GFDL-ESM4
1964,1.9144834122334387,historical,GFDL-ESM4
1965,2.0895219169163846,historical,GFDL-ESM4
1966,2.5154650509914176,historical,GFDL-ESM4
1967,3.560631733881887,historical,GFDL-ESM4
1968,2.8102569889929208,historical,GFDL-ESM4
1969,2.6596518476677287,historical,GFDL-ESM4
1970,2.5492761574726415,historical,GFDL-ESM4
1971,2.8250131041325375,historical,GFDL-ESM4
1972,3.926246169752532,historical,GFDL-ESM4
1973,3.9030717340069394,historical,GFDL-ESM4
1974,3.682304857006671,historical,GFDL-ESM4
1975,3.695343775100187,historical,GFDL-ESM4
1976,3.9633575400687566,historical,GFDL-ESM4
1977,4.059535310179612,historical,GFDL-ESM4
1978,4.095805850698188,historical,GFDL-ESM4
1979,4.100654003017753,historical,GFDL-ESM4
1980,4.254866127274677,historical,GFDL-ESM4
1981,4.704728480244354,historical,GFDL-ESM4
1982,5.374953164226125,historical,GFDL-ESM4
1983,4.972237270986062,historical,GFDL-ESM4
1984,4.466099085718056,historical,GFDL-ESM4
1985,4.627294923627998,historical,GFDL-ESM4
1986,5.0153483257697555,historical,GFDL-ESM4
1987,5.486363309491353,historical,GFDL-ESM4
1988,4.861735810166533,historical,GFDL-ESM4
1989,5.188284928370813,historical,GFDL-ESM4
1990,5.774004426728432,historical,GFDL-ESM4
1991,6.277968640614963,historical,GFDL-ESM4
1992,5.801151856175189,historical,GFDL-ESM4
1993,5.538608512766948,historical,GFDL-ESM4
1994,5.7030802114670855,historical,GFDL-ESM4
1995,5.586602571199486,historical,GFDL-ESM4
1996,5.254110658794133,historical,GFDL-ESM4
1997,5.418672207132364,historical,GFDL-ESM4
1998,5.935946260414146,historical,GFDL-ESM4
1999,5.8783008064040505,historical,GFDL-ESM4
2000,6.325476978396393,historical,GFDL-ESM4
2001,6.721338731585755,historical,GFDL-ESM4
2002,6.345314761794525,historical,GFDL-ESM4
2003,5.708198728618136,historical,GFDL-ESM4
2004,6.417373718402693,historical,GFDL-ESM4
